TOURNAMENT_ID,TOURNAMENT_NAME,TOURNAMENT_SLUG,COUNTRY
1,EURO,european-championship,Europe
339,Trophée des Champions,trophee-des-champions,France
27,"EURO, Qualification",european-championship-qualification,Europe
34,Ligue 1,ligue-1,France
7,UEFA Champions League,uefa-champions-league,Europe
16,World Championship,world-championship,World
10783,UEFA Nations League,uefa-nations-league,Europe
11,World Championship Qual. UEFA,world-championship-qual-uefa,Europe
335,Coupe de France,coupe-de-france,France
333,Coupe de la Ligue,coupe-de-la-ligue,France
258,U19 European Championship,u19-european-championship,Europe
679,UEFA Europa League,uefa-europa-league,Europe
133,Copa América,copa-america,South America
213,Supercopa de España,supercopa-de-espana,Spain
295,World Championship Qual. CONMEBOL,world-championship-qual-conmebol,South America
8,LaLiga,laliga,Spain
357,Club World Championship,club-world-championship,World
465,UEFA Super Cup,uefa-super-cup,Europe
329,Copa del Rey,copa-del-rey,Spain
325,Brasileirão Série A,brasileirao-serie-a,Brazil
384,CONMEBOL Libertadores,conmebol-libertadores,South America
480,CONMEBOL Sudamericana,conmebol-sudamericana,South America
372,Paulista Série A1,paulista-serie-a1,Brazil
35,Bundesliga,bundesliga,Germany
217,DFB Pokal,dfb-pokal,Germany
799,German Super Cup,super-cup,Germany
19,FA Cup,fa-cup,England
21,EFL Cup,efl-cup,England
18,Championship,championship,England
52,Trendyol Süper Lig,trendyol-super-lig,Turkey
17015,UEFA Europa Conference League,uefa-europa-conference-league,Europe
453,U20 World Cup,u20-world-cup,World
454,U21 European Championship,u21-european-championship,Europe
279,U17 World Championship,u17-world-championship,World
341,Supercoppa Italiana,supercoppa-italiana,Italy
23,Serie A,serie-a,Italy
328,Coppa Italia,coppa-italia,Italy
346,Community Shield,community-shield,England
17,Premier League,premier-league,England
436,Olympic Games,olympic-games,World
1295,Emirates Cup,emirates-cup,World
1794,MLS All Star Game,mls-all-star-game,USA
54,LaLiga 2,laliga-2,Spain
17073,Primera Federación,primera-federacion,Spain
632,U20 CONMEBOL Championship,u20-conmebol-championship,South America
238,Liga Portugal Betclic,liga-portugal-betclic,Portugal
182,Ligue 2,ligue-2,France
218,Ukrainian Premier League,premier-league,Ukraine
345,Supertaça,supertaca,Portugal
239,Liga Portugal 2,liga-portugal-2,Portugal
382,Paranaense,paranaense,Brazil
390,Brasileirão Série B,brasileirao-serie-b,Brazil
379,Mineiro Módulo I,mineiro-modulo-i,Brazil
37,Eredivisie,eredivisie,Netherlands
330,KNVB Beker,knvb-beker,Netherlands
131,Eerste Divisie,eerste-divisie,Netherlands
1325,Premier League Asia Trophy,premier-league-asia-trophy,World
278,Uruguayan Primera División,primera-division,Uruguay
724,1. NL,1-nl,Croatia
140,CONCACAF Gold Cup,concacaf-gold-cup,North & Central America
495,US Open Cup,us-open-cup,USA
242,MLS,mls,USA
39,Danish Superliga,superliga,Denmark
340,Johan Cruijff Schaal,johan-cruijff-schaal,Netherlands
312,Ukraine Cup,ukraine-cup,Ukraine
11536,"Primera A, Clausura",primera-a-clausura,Colombia
10756,Superliga de Colombia,superliga-de-colombia,Colombia
11539,"Primera A, Apertura",primera-a-apertura,Colombia
1337,International Champions Cup,international-champions-cup,World
172,Chance Liga,1-liga,Czech Republic
205,FNL,fnl,Czech Republic
155,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina
18654,CONMEBOL-UEFA Cup of Champions,conmebol-uefa-cup-of-champions,World
38,Pro League,pro-league,Belgium
338,Belgian Super Cup,belgian-super-cup,Belgium
45,Bundesliga,bundesliga,Austria
1618,Supercopa Argentina,supercopa-argentina,Argentina
649,CFA Super League,cfa-super-league,China
463,AFC Champions League Elite,afc-champions-league,Asia
